keys,en,zh_CN
ui.panel.to_module,Module,模组
ui.panel.fuse,Fuse,融合
ui.upgrade.cost,Cost: {value},花费：{value}
ui.upgrade.status_line,{key}: {from} => {to},{key}：{from} => {to}
ui.branch.title,Choose Evolution Branch,选择进化分支
ui.branch.weapon,Weapon,武器
ui.route.title,Choose Route,选择路线
ui.route.subtitle,Select one route for this level.,为本关选择一条路线。
ui.route.confirm,Confirm Route,确认路线
ui.reward.title,Choose Reward,选择奖励
ui.reward.subtitle,{route} - pick one reward.,{route} - 请选择一个奖励。
ui.reward.confirm,Confirm Reward,确认奖励
ui.reward.default,Reward,奖励
ui.reward.weapon,Weapon {id} Lv.{level},武器 {id} Lv.{level}
ui.reward.module,Module {name} Lv.{level},模组 {name} Lv.{level}
ui.reward.exp,EXP +{value},经验 +{value}
ui.reward.message,Reward: {content},奖励：{content}
ui.module.title,Equip Module,装备模组
ui.module.no_effect,No direct stat changes.,无直接属性变化。
ui.module.effects,Effects: {effects},效果：{effects}
ui.module.section.equipped,Equipped Weapons,已装备武器
ui.module.section.inventory,Inventory Weapons,背包武器
ui.module.none,(none),（无）
ui.module.slots,Slots: {used}/{max},槽位：{used}/{max}
ui.module.action.equip,Equip,装备
ui.module.action.blocked,Blocked,不可用
ui.module.compatible,Compatible,兼容
ui.module.cannot_equip,Cannot equip: {reason},无法装备：{reason}
ui.module.equipped_modules_none,Equipped modules: none,已装备模组：无
ui.module.equipped_modules,Equipped modules: {modules},已装备模组：{modules}
ui.module.stat_changes_none,Stat changes: none,属性变化：无
ui.module.stat_changes,Stat changes: {changes},属性变化：{changes}
ui.module.equipped_message,Equipped {module} Lv.{level} to {weapon},已将 {module} Lv.{level} 装备到 {weapon}
ui.module.removed_message,Removed {module} from {weapon},已从 {weapon} 卸下 {module}
ui.module.empty,Empty,空
ui.module.sold,Sold,已售出
ui.inventory.slot.empty,Empty,空
ui.gameover.title,Game Over,游戏结束
ui.gameover.status,Status  HP: {hp}/{max_hp}  Level: {level}  EXP: {exp},状态  生命：{hp}/{max_hp}  等级：{level}  经验：{exp}
ui.gameover.coin,Coin Collected: {value},金币获取：{value}
ui.gameover.chip,Chip Collected: {value},芯片获取：{value}
ui.gameover.new_game,New Game,新游戏
ui.start_battle.hold_f,Hold F to Start,按住 F 开始战斗
ui.module.reason.invalid_module,Invalid module.,无效模组。
ui.module.reason.invalid_weapon,Invalid weapon.,无效武器。
ui.module.reason.no_container,Weapon has no module container.,武器没有模组容器。
ui.module.reason.no_slots,No module slots available.,没有可用模组槽。
ui.module.reason.not_equipped,Module is not equipped.,模组尚未装备。
ui.module.reason.not_melee,Not compatible with melee weapons.,不兼容近战武器。
ui.module.reason.not_ranged,Not compatible with ranged weapons.,不兼容远程武器。
ui.module.reason.trait_required,Weapon does not match required traits.,武器不满足所需特性。
ui.module.reason.requires_one_of,Requires one of: {traits},需要以下特性之一：{traits}
ui.inventory.obtain,Obtained {name} Lv.{level},获得 {name} Lv.{level}
ui.inventory.upgrade,Upgraded {name} to Lv.{level},升级 {name} 到 Lv.{level}
ui.inventory.convert,Converted duplicate {name} into +{gold} Gold,重复 {name} 已转换为 +{gold} 金币
